Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
85 Magpie Way,https://www.zoocasa.com/whitby-on-real-estate/85-magpie-way,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,182,000","List Price$699,900",3 months ,3 Bed,4 Bath,1500–2000 sqft
14 Mayfield Cres,https://www.zoocasa.com/whitby-on-real-estate/14-mayfield-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F0aa303a0-f54b-4c28-b35a-db670d9c7b98.jpg&w=640&q=75,Sold,"$1,040,000","List Price$899,000",3 months ,3 Bed,3 Bath,N/A sqft
70 Teresa Dr,https://www.zoocasa.com/whitby-on-real-estate/70-teresa-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F651e26eb-d2c1-4810-b036-4a91cc47dba9.jpg&w=640&q=75,Sold,"$1,250,500","List Price$999,000",3 months ,4 Bed,4 Bath,N/A sqft
54 Bettina Pl,https://www.zoocasa.com/whitby-on-real-estate/54-bettina-pl,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F454485ef-ba5c-4fa1-8265-3fbb8f2e8f9f.jpg&w=640&q=75,Sold,"$1,310,000","List Price$999,000",3 months ,3 Bed,3 Bath,N/A sqft
56 Juneau Cres,https://www.zoocasa.com/whitby-on-real-estate/56-juneau-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fdf9c187b-ee25-44d1-8e6b-6454911c9c21.jpg&w=640&q=75,Sold,"$1,100,000","List Price$829,900",3 months ,3 Bed,3 Bath,1100–1500 sqft
5 Chieftain St,https://www.zoocasa.com/whitby-on-real-estate/5-chieftain-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fb6d0765d-b9a5-498a-8a3d-8313908f4b05.jpg&w=640&q=75,Sold,"$1,855,000","List Price$1,528,000",Sold 3 Months Ago,4 Bed,4 Bath,N/A sqft
75 Barkerville Dr,https://www.zoocasa.com/whitby-on-real-estate/75-barkerville-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F65638f2a-a72e-4364-ab6a-63959491dc03.jpg&w=640&q=75,Sold,"$1,600,000","List Price$1,539,000",Sold 3 Months Ago,4 Bed,4 Bath,N/A sqft
25 Beaverdams Dr,https://www.zoocasa.com/whitby-on-real-estate/25-beaverdams-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fb660ea6a-13dd-4afa-acc8-d60b2304ad77.jpg&w=640&q=75,Sold,"$2,000,000","List Price$1,699,000",3 months ,4 Bed,4 Bath,3000–3500 sqft
11 Promenade Dr,https://www.zoocasa.com/whitby-on-real-estate/11-promenade-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,500,000","List Price$1,088,000",3 months ,3 Bed,4 Bath,N/A sqft
98 Braebrook Dr,https://www.zoocasa.com/whitby-on-real-estate/98-braebrook-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,256,000","List Price$998,000",3 months ,4 Bed,3 Bath,N/A sqft
22 Teresa Dr,https://www.zoocasa.com/whitby-on-real-estate/22-teresa-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F25123892-9b82-497e-9717-085a1c069731.jpg&w=640&q=75,Sold,"$1,385,000","List Price$1,049,000",3 months ,4 Bed,4 Bath,N/A sqft
6583 Cochrane St,https://www.zoocasa.com/whitby-on-real-estate/6583-cochrane-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,550,000","List Price$2,280,000",3 months ,3 Bed,4 Bath,2000–2500 sqft
18 Sedgemoor St,https://www.zoocasa.com/whitby-on-real-estate/18-sedgemoor-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F87d5520d-e02f-4072-8f11-8212aa426bb2.jpg&w=640&q=75,Sold,"$1,110,000","List Price$849,000",3 months ,4 Bed,3 Bath,N/A sqft
100 Erickson Dr,https://www.zoocasa.com/whitby-on-real-estate/100-erickson-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F6408349e-2a18-41ea-a572-944b20fd9042.jpg&w=640&q=75,Sold,"$1,850,000","List Price$1,099,000",3 months ,5 Bed,4 Bath,3000–3500 sqft
