Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
68 Fincham Ave,https://www.zoocasa.com/markham-on-real-estate/68-fincham-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fac9c6d94-e363-47f9-bace-18ccd20f5051.jpg&w=640&q=75,Sold,"$1,590,000","List Price$1,628,000",Sold 8 Days Ago,4 Bed,4 Bath,2000–2500 sqft
76 Ruby Cres,https://www.zoocasa.com/richmond-hill-on-real-estate/76-ruby-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,200,000","List Price$1,248,000",Sold 10 Days Ago,3 Bed,3 Bath,1500–2000 sqft
59 Kentview Cres,https://www.zoocasa.com/markham-on-real-estate/59-kentview-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,915,700","List Price$1,588,000",10 days ,4 Bed,4 Bath,N/A sqft
207 - 48 Suncrest Blvd,https://www.zoocasa.com/markham-on-real-estate/207-48-suncrest-blvd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$600,000","List Price$598,800",8 days ,1 Bed,1 Bath,600–699 sqft
202 Church St,https://www.zoocasa.com/markham-on-real-estate/202-church-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,300,000","List Price$2,499,900",9 days ,5 Bed,5 Bath,3500–5000 sqft
377 Manhattan Dr,https://www.zoocasa.com/markham-on-real-estate/377-manhattan-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F3f1a9c6e-2d3f-4d15-9d3a-2a30d8ff26c8.jpg&w=640&q=75,Sold,"$1,900,888","List Price$1,899,900",7 days ,4 Bed,4 Bath,3000–3500 sqft
5 Batchford Cres,https://www.zoocasa.com/markham-on-real-estate/5-batchford-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,950,000","List Price$1,888,800",9 days ,4 Bed,5 Bath,N/A sqft
12 Stockport Rd,https://www.zoocasa.com/markham-on-real-estate/12-stockport-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$998,800","List Price$999,900",9 days ,3 Bed,3 Bath,N/A sqft
187 Helen Ave,https://www.zoocasa.com/markham-on-real-estate/187-helen-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Faa9a6d75-5f54-4cd2-bb76-75c90f41aae6.jpg&w=640&q=75,Sold,"$3,150,000","List Price$3,680,000",6 days ,2 Bed,1 Bath,N/A sqft
22 Hawkridge Ave,https://www.zoocasa.com/markham-on-real-estate/22-hawkridge-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F8c10238a-c632-4997-a1a8-42818dcb990b.jpg&w=640&q=75,Sold,"$1,815,000","List Price$1,815,000",7 days ,3 Bed,2 Bath,1100–1500 sqft
1015 - 325 South Park Rd,https://www.zoocasa.com/markham-on-real-estate/1015-325-south-park-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F31d424a5-976e-4617-a592-128babf350c4.jpg&w=640&q=75,Sold,"$875,000","List Price$928,000",Sold 7 Days Ago,2 Bed,2 Bath,1000–1199 sqft
