Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
12 Southam St,https://www.zoocasa.com/ajax-on-real-estate/12-southam-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,532,000","List Price$1,399,900",12 days ,4 Bed,3 Bath,N/A sqft
165 Angus Dr,https://www.zoocasa.com/ajax-on-real-estate/165-angus-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Ff9e3e21c-9373-40be-8388-c5b479ef68ac.jpg&w=640&q=75,Sold,"$925,000","List Price$899,999",10 days ,3 Bed,3 Bath,1100–1500 sqft
54 Wicks Dr,https://www.zoocasa.com/ajax-on-real-estate/54-wicks-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,161,000","List Price$888,000",11 days ,3 Bed,4 Bath,N/A sqft
62 Greenhalf Dr,https://www.zoocasa.com/ajax-on-real-estate/62-greenhalf-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,122,000","List Price$987,500",13 days ,4 Bed,3 Bath,N/A sqft
412 - 66 Falby Crt,https://www.zoocasa.com/ajax-on-real-estate/412-66-falby-ct,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F72e42896-2aea-43e4-9373-ffa4b76551a2.jpg&w=640&q=75,Sold,"$710,000","List Price$499,900",10 days ,2 Bed,2 Bath,1000–1199 sqft
4 Whittington Crt,https://www.zoocasa.com/ajax-on-real-estate/4-whittington-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,215,000","List Price$949,900",11 days ,3 Bed,4 Bath,N/A sqft
121 Admiral Rd,https://www.zoocasa.com/ajax-on-real-estate/121-admiral-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fbfa46786-a42d-4d00-9913-406f9617a70e.jpg&w=640&q=75,Sold,"$890,000","List Price$829,000",10 days ,3 Bed,2 Bath,N/A sqft
6 Booth Cres,https://www.zoocasa.com/ajax-on-real-estate/6-booth-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,135,001","List Price$958,888",11 days ,3 Bed,4 Bath,2000–2500 sqft
67 Hopkinson Cres,https://www.zoocasa.com/ajax-on-real-estate/67-hopkinson-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,550,000","List Price$1,299,900",12 days ,4 Bed,4 Bath,2500–3000 sqft
54 Mill St,https://www.zoocasa.com/ajax-on-real-estate/54-mill-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,160,000","List Price$899,900",Sold 13 Days Ago,3 Bed,2 Bath,N/A sqft
