Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
26 - 4823 Thomas Alton Blvd,https://www.zoocasa.com/burlington-on-real-estate/26-4823-thomas-alton-blvd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$985,000","List Price$998,000",4 days ,4 Bed,3 Bath,1600–1799 sqft
3 - 181 Plains Rd W,https://www.zoocasa.com/burlington-on-real-estate/3-181-plains-rd-w,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$950,000","List Price$999,500",Sold 4 Days Ago,2 Bed,4 Bath,1600–1799 sqft
12 - 472 Claridge Rd,https://www.zoocasa.com/burlington-on-real-estate/12-472-claridge-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$635,000","List Price$549,900",5 days ,3 Bed,1 Bath,1000–1199 sqft
125 - 5010 Corporate Dr,https://www.zoocasa.com/burlington-on-real-estate/125-5010-corporate-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$620,000","List Price$569,900",4 days ,1 Bed,1 Bath,700–799 sqft
2147 Woodglen Cres,https://www.zoocasa.com/burlington-on-real-estate/2147-woodglen-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,765,000","List Price$1,799,900",4 days ,4 Bed,4 Bath,N/A sqft
471 Plains Rd W,https://www.zoocasa.com/burlington-on-real-estate/471-plains-rd-w,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,594,000","List Price$1,619,000",3 days ,3 Bed,3 Bath,N/A sqft
420 - 5317 Upper Middle Rd,https://www.zoocasa.com/burlington-on-real-estate/420-5317-upper-middle-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$655,000","List Price$674,000",4 days ,1 Bed,1 Bath,700–799 sqft
1439 Milburough Line,https://www.zoocasa.com/hamilton-on-real-estate/1439-milburough-town-line,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,275,000","List Price$1,299,900",8 days ,3 Bed,3 Bath,N/A sqft
1 - 2200 Glenwood School Dr,https://www.zoocasa.com/burlington-on-real-estate/1-2200-glenwood-school-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F08da6df9-e09d-4ea8-9c1f-a8756c7785fa.jpg&w=640&q=75,Sold,"$735,000","List Price$749,000",5 days ,3 Bed,2 Bath,1200–1399 sqft
4645 Cornerstone Dr,https://www.zoocasa.com/burlington-on-real-estate/4645-cornerstone-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fe2e531b9-b586-4453-8218-28eca575391e.jpg&w=640&q=75,Sold,"$1,690,000","List Price$1,799,000",5 days ,3 Bed,4 Bath,N/A sqft
203 - 2020 Cleaver Ave,https://www.zoocasa.com/burlington-on-real-estate/203-2020-cleaver-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$540,000","List Price$549,900",6 days ,1 Bed,1 Bath,600–699 sqft
4224 Longmoor Dr,https://www.zoocasa.com/burlington-on-real-estate/4224-longmoor-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,155,000","List Price$999,900",Sold 8 Days Ago,3 Bed,2 Bath,1100–1500 sqft
36 - 3050 Rotary Way,https://www.zoocasa.com/burlington-on-real-estate/36-3050-rotary-way,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F40deeeca-d56f-437e-92e8-354a12e7badc.jpg&w=640&q=75,Sold,"$775,000","List Price$775,000",Sold 5 Days Ago,2 Bed,2 Bath,1000–1199 sqft
5211 Tamarac Dr,https://www.zoocasa.com/burlington-on-real-estate/5211-tamarac-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,265,000","List Price$1,295,000",Sold 6 Days Ago,3 Bed,2 Bath,1100–1500 sqft
1071 Joan Dr,https://www.zoocasa.com/burlington-on-real-estate/1071-joan-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,000,000","List Price$1,099,900",8 days ,2 Bed,2 Bath,N/A sqft
1162 Casador Crt,https://www.zoocasa.com/burlington-on-real-estate/1162-casador-ct,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F5caede11-34a1-4e43-8975-7149af588d76.jpg&w=640&q=75,Sold,"$1,707,500","List Price$1,269,000",6 days ,2 Bed,3 Bath,1500–2000 sqft
2340 Holyhead Dr,https://www.zoocasa.com/burlington-on-real-estate/2340-holyhead-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$842,000","List Price$799,900",6 days ,3 Bed,2 Bath,N/A sqft
6 - 2110 New St,https://www.zoocasa.com/burlington-on-real-estate/6-2110-new-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F657b0b4d-e84a-4e03-8aee-774bc0817515.jpg&w=640&q=75,Sold,"$1,150,000","List Price$899,900",6 days ,1 Bed,3 Bath,1200–1399 sqft
729 George St,https://www.zoocasa.com/burlington-on-real-estate/729-george-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F9b62c5b1-3323-43b3-a4fe-275de5125490.jpg&w=640&q=75,Sold,"$1,927,000","List Price$1,699,900",Sold 6 Days Ago,3 Bed,4 Bath,2000–2500 sqft
2351 Gibbon St,https://www.zoocasa.com/burlington-on-real-estate/2351-gibbon-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,050,000","List Price$950,000",Sold 6 Days Ago,3 Bed,2 Bath,700–1100 sqft
507 - 1201 North Shore Blvd E,https://www.zoocasa.com/burlington-on-real-estate/507-1201-north-shore-blvd-e,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fae175484-8e31-47ac-ac78-53f5dc13702c.jpg&w=640&q=75,Sold,"$799,900","List Price$799,900",6 days ,2 Bed,2 Bath,1200–1399 sqft
1361 Caroline St,https://www.zoocasa.com/burlington-on-real-estate/1361-caroline-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,755,000","List Price$1,699,000",6 days ,4 Bed,2 Bath,1100–1500 sqft
3061 Driftwood Dr,https://www.zoocasa.com/burlington-on-real-estate/3061-driftwood-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,090,000","List Price$999,900",8 days ,3 Bed,2 Bath,1100–1500 sqft
2153 Jardine Cres,https://www.zoocasa.com/burlington-on-real-estate/2153-jardine-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,180,000","List Price$2,200,000",8 days ,4 Bed,3 Bath,2500–3000 sqft
420 Seneca Ave,https://www.zoocasa.com/burlington-on-real-estate/420-seneca-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F126912a9-1d40-4dda-8f37-a7f1aebb2f0d.jpg&w=640&q=75,Sold,"$2,200,000","List Price$2,295,000",5 days ,3 Bed,4 Bath,2000–2500 sqft
5427 Kindos St,https://www.zoocasa.com/burlington-on-real-estate/5427-kindos-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,540,000","List Price$1,599,900",7 days ,4 Bed,4 Bath,2000–2500 sqft
1105 - 100 Burloak Dr,https://www.zoocasa.com/burlington-on-real-estate/1105-100-burloak-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$399,900","List Price$399,900",6 days ,1 Bed,1 Bath,700–799 sqft
11 Bayside Crt,https://www.zoocasa.com/burlington-on-real-estate/11-bayside-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,600,000","List Price$2,788,800",6 days ,3 Bed,2 Bath,2000–2500 sqft
502 - 5280 Lakeshore Rd,https://www.zoocasa.com/burlington-on-real-estate/502-5280-lakeshore-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$750,000","List Price$699,900",6 days ,2 Bed,2 Bath,1200–1399 sqft
2333 Alma Dale Ave,https://www.zoocasa.com/burlington-on-real-estate/2333-alma-dale-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fc757afa4-383f-429a-bb2e-b3d0302f74f6.jpg&w=640&q=75,Sold,"$955,003","List Price$849,900",5 days ,3 Bed,2 Bath,700–1100 sqft
