Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
362 Kirby Cres,https://www.zoocasa.com/newmarket-on-real-estate/362-kirby-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,725,000","List Price$1,799,900",11 days ,4 Bed,4 Bath,3000–3500 sqft
781 Shanahan Blvd,https://www.zoocasa.com/newmarket-on-real-estate/781-shanahan-blvd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,800,000","List Price$1,599,000",12 days ,4 Bed,4 Bath,3000–3500 sqft
235 Ray Snow Blvd,https://www.zoocasa.com/newmarket-on-real-estate/235-ray-snow-blvd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,325,000","List Price$1,398,000",13 days ,3 Bed,3 Bath,2000–2500 sqft
801 - 260 Davis Dr,https://www.zoocasa.com/newmarket-on-real-estate/801-260-davis-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$600,000","List Price$559,000",11 days ,2 Bed,1 Bath,900–999 sqft
354 Buckingham Rd,https://www.zoocasa.com/newmarket-on-real-estate/354-buckingham-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,275,000","List Price$1,299,900",11 days ,4 Bed,3 Bath,2000–2500 sqft
71 Peevers Cres,https://www.zoocasa.com/newmarket-on-real-estate/71-peevers-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,528,000","List Price$1,488,000",Sold 17 Days Ago,3 Bed,4 Bath,N/A sqft
168 Austinpaul Dr,https://www.zoocasa.com/newmarket-on-real-estate/168-austin-paul-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,485,000","List Price$1,298,800",Sold 11 Days Ago,3 Bed,4 Bath,N/A sqft
894 Joe Persechini Dr,https://www.zoocasa.com/newmarket-on-real-estate/894-joe-persechini-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,290,000","List Price$1,288,000",13 days ,4 Bed,4 Bath,2000–2500 sqft
992 Oaktree Cres,https://www.zoocasa.com/newmarket-on-real-estate/992-oaktree-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,411,000","List Price$1,388,000",Sold 13 Days Ago,4 Bed,4 Bath,N/A sqft
688 Irwin Cres,https://www.zoocasa.com/newmarket-on-real-estate/688-irwin-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$880,000","List Price$898,000",14 days ,3 Bed,2 Bath,N/A sqft
