Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
1087 Pondview Crt,https://www.zoocasa.com/oshawa-on-real-estate/1087-pondview-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,490,000","List Price$1,490,000",4 days ,4 Bed,4 Bath,N/A sqft
411 King St E,https://www.zoocasa.com/oshawa-on-real-estate/411-king-st-e,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fd87981cb-5184-4674-b3bb-5faf0dd6c569.jpg&w=640&q=75,Sold,"$950,000","List Price$799,000",3 days ,4 Bed,3 Bath,1500–2000 sqft
375 New Gate Ave N,https://www.zoocasa.com/oshawa-on-real-estate/375-new-gate-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$850,000","List Price$899,900",3 days ,3 Bed,2 Bath,N/A sqft
634 Bloor St E,https://www.zoocasa.com/oshawa-on-real-estate/634-bloor-st-e,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$780,000","List Price$599,900",Sold 4 Days Ago,2 Bed,1 Bath,700–1100 sqft
202 - 131 Taunton Rd E,https://www.zoocasa.com/oshawa-on-real-estate/202-131-taunton-rd-e,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F9a271e5d-54ae-438a-935f-a84220adff2f.jpg&w=640&q=75,Sold,"$445,000","List Price$395,000",3 days ,3 Bed,2 Bath,1000–1199 sqft
243 Quebec St,https://www.zoocasa.com/oshawa-on-real-estate/243-quebec-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$370,000","List Price$399,000",4 days ,1 Bed,2 Bath,N/A sqft
2322 Chevron Prince Path,https://www.zoocasa.com/oshawa-on-real-estate/2322-chevron-prince-path,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$840,000","List Price$858,000",Sold 4 Days Ago,4 Bed,3 Bath,1800–1999 sqft
864 Barbados St,https://www.zoocasa.com/oshawa-on-real-estate/864-barbados-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fb5b44cda-ea68-4b13-8fe6-10f471c4f361.jpg&w=640&q=75,Sold,"$1,900,000","List Price$1,799,900",Sold 3 Days Ago,4 Bed,4 Bath,N/A sqft
714 Wesley Dr,https://www.zoocasa.com/oshawa-on-real-estate/714-wesley-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$835,000","List Price$799,900",4 days ,3 Bed,2 Bath,N/A sqft
18 Central Park Blvd N,https://www.zoocasa.com/oshawa-on-real-estate/18-central-park-blvd-n,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$718,000","List Price$599,000",Sold 4 Days Ago,2 Bed,1 Bath,N/A sqft
