Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
34 Dunloe Rd,https://www.zoocasa.com/richmond-hill-on-real-estate/34-dunloe-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,410,000","List Price$2,088,000",6 days ,4 Bed,3 Bath,3500–5000 sqft
701 - 22 Clarissa Dr,https://www.zoocasa.com/richmond-hill-on-real-estate/701-22-clarissa-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$670,000","List Price$679,000",6 days ,1 Bed,1 Bath,900–999 sqft
112 Heritage Hollow Esta St,https://www.zoocasa.com/richmond-hill-on-real-estate/112-heritage-hollow-estate-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,600,000","List Price$1,568,000",8 days ,3 Bed,3 Bath,N/A sqft
310 - 8763 Bayview Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/310-8763-bayview-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fe783c8ad-ad7b-47f2-815c-ede8feb9fa2a.jpg&w=640&q=75,Sold,"$548,000","List Price$499,000",Sold 5 Days Ago,0 Bed,1 Bath,0-499 sqft
20 Rockport Cres,https://www.zoocasa.com/richmond-hill-on-real-estate/20-rockport-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,520,000","List Price$1,590,000",Sold 6 Days Ago,3 Bed,3 Bath,N/A sqft
17 Lilley Crt,https://www.zoocasa.com/richmond-hill-on-real-estate/17-lilley-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,855,000","List Price$1,788,000",8 days ,4 Bed,4 Bath,3000–3500 sqft
20 Monaco Cres,https://www.zoocasa.com/richmond-hill-on-real-estate/20-monaco-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F601e096a-4b40-44b8-9666-65104b36bb7a.jpg&w=640&q=75,Sold,"$1,960,000","List Price$2,160,000",5 days ,5 Bed,5 Bath,2500–3000 sqft
124 Crosby Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/124-crosby-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,180,000","List Price$1,248,000",7 days ,4 Bed,4 Bath,N/A sqft
62 Yongehurst Rd,https://www.zoocasa.com/richmond-hill-on-real-estate/62-yongehurst-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$3,505,000","List Price$3,499,000",7 days ,4 Bed,7 Bath,3500–5000 sqft
611a - 9088 Yonge St,https://www.zoocasa.com/richmond-hill-on-real-estate/611a-9088-yonge-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,300,000","List Price$1,149,000",Sold 8 Days Ago,2 Bed,3 Bath,1600–1799 sqft
25 Danpatrick Dr,https://www.zoocasa.com/richmond-hill-on-real-estate/25-danpatrick-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,927,000","List Price$1,549,000",8 days ,4 Bed,4 Bath,2500–3000 sqft
60 Antique Dr,https://www.zoocasa.com/richmond-hill-on-real-estate/60-antique-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F9a1cfb61-5e1d-416d-bba9-b58c15c42079.jpg&w=640&q=75,Sold,"$1,470,000","List Price$1,549,900",10 days ,3 Bed,4 Bath,N/A sqft
16 Emily Charron Lane,https://www.zoocasa.com/richmond-hill-on-real-estate/16-emily-charron-ln,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F64bf2b47-8da9-482f-9f00-36213074e5a9.jpg&w=640&q=75,Sold,"$1,320,000","List Price$1,348,800",Sold 10 Days Ago,3 Bed,3 Bath,1500–2000 sqft
22 Edgemont Crt,https://www.zoocasa.com/richmond-hill-on-real-estate/22-edgemont-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,450,000","List Price$1,488,888",11 days ,3 Bed,3 Bath,2000–2500 sqft
157 Battaglini Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/157-battaglini-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,321,250","List Price$2,498,000",11 days ,4 Bed,5 Bath,3500–5000 sqft
305 - 29 Northern Heights Dr,https://www.zoocasa.com/richmond-hill-on-real-estate/305-29-northern-heights-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$757,500","List Price$784,900",Sold 11 Days Ago,2 Bed,2 Bath,1000–1199 sqft
96 Leyburn Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/96-leyburn-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F227203cf-6d36-40c5-b745-9ced30c57b65.jpg&w=640&q=75,Sold,"$1,750,000","List Price$1,798,000",11 days ,4 Bed,4 Bath,N/A sqft
23 Ambler Lane,https://www.zoocasa.com/richmond-hill-on-real-estate/23-ambler-ln,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,280,000","List Price$998,000",11 days ,3 Bed,3 Bath,2000–2500 sqft
726 - 8763 Bayview Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/726-8763-bayview-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$856,000","List Price$838,000",11 days ,2 Bed,2 Bath,1000–1199 sqft
45 O'hara Cres,https://www.zoocasa.com/richmond-hill-on-real-estate/45-ohara-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$2,045,000","List Price$1,688,000",12 days ,4 Bed,5 Bath,3000–3500 sqft
611 - 50 Baif Blvd,https://www.zoocasa.com/richmond-hill-on-real-estate/611-50-baif-blvd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$688,000","List Price$692,000",11 days ,2 Bed,2 Bath,1000–1199 sqft
43 Steepleview Cres,https://www.zoocasa.com/richmond-hill-on-real-estate/43-steepleview-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$990,000","List Price$873,000",12 days ,3 Bed,2 Bath,N/A sqft
1117 - 185 Oneida Cres,https://www.zoocasa.com/richmond-hill-on-real-estate/1117-185-oneida-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Ffebd63d9-ab35-4245-b0eb-68e6a6f1b362.jpg&w=640&q=75,Sold,"$800,000","List Price$769,000",Sold 11 Days Ago,2 Bed,2 Bath,900–999 sqft
th 2 - 9133 Bayview Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/th-2-9133-bayview-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,100,000","List Price$899,900",Sold 11 Days Ago,3 Bed,3 Bath,1600–1799 sqft
40 Catalina Cres,https://www.zoocasa.com/richmond-hill-on-real-estate/40-catalina-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,450,000","List Price$1,499,000",11 days ,3 Bed,4 Bath,1500–2000 sqft
338 Taylor Mills Dr S,https://www.zoocasa.com/richmond-hill-on-real-estate/338-taylor-mills-dr-s,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,130,000","List Price$1,199,900",11 days ,3 Bed,2 Bath,N/A sqft
47 Summitcrest Dr,https://www.zoocasa.com/richmond-hill-on-real-estate/47-summitcrest-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F16cdb43c-db31-4eac-94e7-f2bbb1da3249.jpg&w=640&q=75,Sold,"$1,860,000","List Price$1,599,900",Sold 10 Days Ago,4 Bed,5 Bath,N/A sqft
1201b - 9090 Yonge St,https://www.zoocasa.com/richmond-hill-on-real-estate/1201b-9090-yonge-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$736,000","List Price$698,800",Sold 12 Days Ago,1 Bed,1 Bath,600–699 sqft
27 Mcgrath Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/27-mcgrath-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F4045af1d-6393-4a3e-aad3-c865aa9c15df.jpg&w=640&q=75,Sold,"$1,195,000","List Price$1,299,000",9 days ,3 Bed,3 Bath,1500–2000 sqft
10 Rideau Dr,https://www.zoocasa.com/richmond-hill-on-real-estate/10-rideau-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,245,000","List Price$1,288,890",11 days ,3 Bed,3 Bath,N/A sqft
103 Hidden Trail Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/103-hidden-trail-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fd14c5ea0-45d5-4994-9b23-9510fb03ffc0.jpg&w=640&q=75,Sold,"$1,900,000","List Price$1,988,000",9 days ,4 Bed,6 Bath,3500–5000 sqft
25 Poplar Dr,https://www.zoocasa.com/richmond-hill-on-real-estate/25-poplar-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$3,100,000","List Price$3,390,000",11 days ,4 Bed,6 Bath,5000 sqft
607a - 9088 Yonge St,https://www.zoocasa.com/richmond-hill-on-real-estate/607a-9088-yonge-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$710,000","List Price$688,000",11 days ,1 Bed,1 Bath,600–699 sqft
717 - 8763 Bayview Ave,https://www.zoocasa.com/richmond-hill-on-real-estate/717-8763-bayview-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$670,000","List Price$599,950",Sold 11 Days Ago,1 Bed,1 Bath,600–699 sqft
1810 - 65 Oneida Cres,https://www.zoocasa.com/richmond-hill-on-real-estate/1810-65-oneida-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fbf40cf69-78f7-494c-aa50-f8ab6f69da4b.jpg&w=640&q=75,Sold,"$870,000","List Price$839,000",10 days ,2 Bed,2 Bath,900–999 sqft
25 Moonlight Lane,https://www.zoocasa.com/richmond-hill-on-real-estate/25-moonlight-ln,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F16cfdd40-1ecb-477f-995b-28ce69c7837a.jpg&w=640&q=75,Sold,"$999,000","List Price$799,999",11 days ,3 Bed,2 Bath,N/A sqft
