Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
196 Hampshire Way,https://www.zoocasa.com/milton-on-real-estate/196-hampshire-way,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fdb4446a5-f4fc-47b3-913d-87e88c19bca0.jpg&w=640&q=75,Sold,"$906,500","List Price$786,888",7 months ,3 Bed,2 Bath,2000–2500 sqft
808 Gifford Cres,https://www.zoocasa.com/milton-on-real-estate/808-gifford-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F9ac99f68-20d4-41ad-b11e-3ab606d1f925.jpg&w=640&q=75,Sold,"$1,031,000","List Price$849,900",Sold 7 Months Ago,3 Bed,4 Bath,1500–2000 sqft
973 Logan Dr,https://www.zoocasa.com/milton-on-real-estate/973-logan-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F91d36a5d-d39a-4fa7-826d-ecdb19c608db.jpg&w=640&q=75,Sold,"$1,560,000","List Price$1,499,000",7 months ,4 Bed,5 Bath,2000–2500 sqft
512 Farmstead Dr,https://www.zoocasa.com/milton-on-real-estate/512-farmstead-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F7266c59f-1c47-45c9-851c-108516d84dfe.jpg&w=640&q=75,Sold,"$1,190,000","List Price$1,200,000",Sold 7 Months Ago,4 Bed,3 Bath,2000–2500 sqft
867 Maple Ave,https://www.zoocasa.com/milton-on-real-estate/867-maple-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Ffed5e8c4-5fe3-4369-b17c-90a24b5d07e1.jpg&w=640&q=75,Sold,"$965,000","List Price$899,900",7 months ,3 Bed,2 Bath,N/A sqft
182 Minto Cres,https://www.zoocasa.com/milton-on-real-estate/182-minto-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F5bda2c18-a6f9-4a2f-97b7-561d4708fd10.jpg&w=640&q=75,Sold,"$1,581,000","List Price$1,479,000",7 months ,4 Bed,3 Bath,2500–3000 sqft
641 Armstrong Blvd,https://www.zoocasa.com/milton-on-real-estate/641-armstrong-blvd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,250,000","List Price$999,900",Sold 7 Months Ago,3 Bed,3 Bath,1500–2000 sqft
8 - 1025 Nadalin Hts,https://www.zoocasa.com/milton-on-real-estate/8-1025-nadalin-hts,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$804,000","List Price$729,000",Sold 7 Months Ago,2 Bed,2 Bath,N/A sqft
622 Hamilton Cres,https://www.zoocasa.com/milton-on-real-estate/622-hamilton-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$986,000","List Price$849,900",7 months ,3 Bed,2 Bath,N/A sqft
412 Gooch Cres,https://www.zoocasa.com/milton-on-real-estate/412-gooch-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,490,000","List Price$1,429,000",7 months ,4 Bed,3 Bath,2500–3000 sqft
406 Laundon Terr,https://www.zoocasa.com/milton-on-real-estate/406-laundon-terr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$991,000","List Price$989,900",7 months ,3 Bed,3 Bath,1500–2000 sqft
969 Philbrook Dr,https://www.zoocasa.com/milton-on-real-estate/969-philbrook-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,157,000","List Price$998,888",7 months ,4 Bed,4 Bath,N/A sqft
833 Coulson Ave,https://www.zoocasa.com/milton-on-real-estate/833-coulson-ave,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,050,000","List Price$1,119,000",Sold 7 Months Ago,4 Bed,3 Bath,N/A sqft
852 Bishop Crct,https://www.zoocasa.com/milton-on-real-estate/852-bishop-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,425,000","List Price$1,350,000",7 months ,3 Bed,2 Bath,1100–1500 sqft
756 Hutchinson Ave,https://www.zoocasa.com/milton-on-real-estate/756-hutchinson-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F820b3e0d-1f4f-4d83-a956-6687865d1422.jpg&w=640&q=75,Sold,"$933,000","List Price$899,000",Sold 7 Months Ago,3 Bed,3 Bath,1500–2000 sqft
311 - 650 Sauve St,https://www.zoocasa.com/milton-on-real-estate/311-650-sauve-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$630,000","List Price$635,000",7 months ,2 Bed,2 Bath,800–899 sqft
