Title,Title_URL,Image,Tag,Price,Price1,style_component__qn84q,style_listingdetail__b0bdg,style_listingdetail__b0bdg2,style_listingdetail__b0bdg3
8 Abercove Clse,https://www.zoocasa.com/brampton-on-real-estate/8-abercove-cl,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$890,000","List Price$899,000",3 days ,3 Bed,3 Bath,1100–1500 sqft
1101 - 4 Lisa St,https://www.zoocasa.com/brampton-on-real-estate/1101-4-lisa-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$680,000","List Price$599,900",Sold 3 Days Ago,3 Bed,2 Bath,1200–1399 sqft
30 Wooliston Cres,https://www.zoocasa.com/brampton-on-real-estate/30-wooliston-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$935,000","List Price$849,900",Sold 3 Days Ago,4 Bed,4 Bath,1500–2000 sqft
52 Irene Cres,https://www.zoocasa.com/brampton-on-real-estate/52-irene-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,150,000","List Price$999,900",3 days ,3 Bed,3 Bath,N/A sqft
28 Brighton Pl,https://www.zoocasa.com/brampton-on-real-estate/28-brighton-pl,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F69c07411-1add-4382-aad1-81a3515f86d7.jpg&w=640&q=75,Sold,"$829,900","List Price$829,900",3 days ,3 Bed,2 Bath,1100–1500 sqft
18 Duggan Dr,https://www.zoocasa.com/brampton-on-real-estate/18-duggan-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,435,000","List Price$1,449,000",3 days ,4 Bed,4 Bath,N/A sqft
59 Moore St,https://www.zoocasa.com/brampton-on-real-estate/59-moore-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$980,000","List Price$959,000",3 days ,3 Bed,5 Bath,700–1100 sqft
97 Woodhaven Dr,https://www.zoocasa.com/brampton-on-real-estate/97-woodhaven-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F97d34b80-ef57-4121-b443-df20a5f3e55e.jpg&w=640&q=75,Sold,"$952,000","List Price$950,000",3 days ,3 Bed,3 Bath,N/A sqft
3 Campwood Cres,https://www.zoocasa.com/brampton-on-real-estate/3-campwood-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fb7e2f901-57c9-49da-b1fd-3f2b6cca60f0.jpg&w=640&q=75,Sold,"$1,630,000","List Price$1,499,000",3 days ,4 Bed,3 Bath,2000–2500 sqft
71 Moore St,https://www.zoocasa.com/brampton-on-real-estate/71-moore-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,030,000","List Price$999,000",Sold 3 Days Ago,3 Bed,2 Bath,1500–2000 sqft
12 Holloway Crt,https://www.zoocasa.com/brampton-on-real-estate/12-holloway-ct,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fb459583b-c617-406a-91f8-390055ba72b1.jpg&w=640&q=75,Sold,"$860,000","List Price$899,000",3 days ,4 Bed,2 Bath,N/A sqft
3 Chiming Rd,https://www.zoocasa.com/brampton-on-real-estate/3-chiming-rd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F7ab62b37-ef4b-4fa3-b17e-51bd0b10afa9.jpg&w=640&q=75,Sold,"$1,950,000","List Price$1,899,900",4 days ,4 Bed,5 Bath,3000–3500 sqft
206 Sunny Meadow Blvd,https://www.zoocasa.com/brampton-on-real-estate/206-sunny-meadow-blvd,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F1a6c80eb-b866-4e11-9e5a-3ff2db6bfea7.jpg&w=640&q=75,Sold,"$1,200,000","List Price$999,900",Sold 4 Days Ago,4 Bed,6 Bath,3000–3500 sqft
6 Bramacre Crt,https://www.zoocasa.com/brampton-on-real-estate/6-bramacre-ct,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fa01b10fe-5e78-4966-a979-64f8d41de98c.jpg&w=640&q=75,Sold,"$885,000","List Price$799,000",4 days ,3 Bed,3 Bath,N/A sqft
37 Carisbrooke Crt,https://www.zoocasa.com/brampton-on-real-estate/37-carisbrooke-ct,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F0bc29e7f-4d99-49f1-9ead-9d045b07bb42.jpg&w=640&q=75,Sold,"$745,000","List Price$699,000",4 days ,3 Bed,2 Bath,1200–1399 sqft
102 Woodward Ave,https://www.zoocasa.com/brampton-on-real-estate/102-woodward-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fb176b566-cd1a-4dbc-9f8c-d9ffe04814ca.jpg&w=640&q=75,Sold,"$1,110,000","List Price$999,000",3 days ,3 Bed,2 Bath,N/A sqft
12 Amaranath Cres,https://www.zoocasa.com/brampton-on-real-estate/12-amaranth-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F7fc221e1-4b80-4013-b855-a502ddad1db0.jpg&w=640&q=75,Sold,"$1,155,000","List Price$1,189,000",Sold 4 Days Ago,3 Bed,3 Bath,1500–2000 sqft
1 Newbridge Cres,https://www.zoocasa.com/brampton-on-real-estate/1-newbridge-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fb34b33d2-9b13-4c14-8790-e3408f511392.jpg&w=640&q=75,Sold,"$1,085,000","List Price$1,099,900",4 days ,3 Bed,3 Bath,1500–2000 sqft
6 Sophia St,https://www.zoocasa.com/brampton-on-real-estate/6-sophia-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fe15222f9-44fd-463f-bd17-1bba8a450dc8.jpg&w=640&q=75,Sold,"$930,000","List Price$899,900",4 days ,3 Bed,2 Bath,1500–2000 sqft
158 Bartley Bull Pkwy,https://www.zoocasa.com/brampton-on-real-estate/158-bartley-bull-pky,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,180,000","List Price$999,900",Sold 4 Days Ago,3 Bed,3 Bath,N/A sqft
6 Fidelia Cres,https://www.zoocasa.com/brampton-on-real-estate/6-fidelia-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fc2801a3d-4258-486f-8e08-09e59d9659c8.jpg&w=640&q=75,Sold,"$1,225,000","List Price$979,900",Sold 4 Days Ago,3 Bed,3 Bath,N/A sqft
48 - 900 Central Park Dr,https://www.zoocasa.com/brampton-on-real-estate/48-900-central-park-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$725,000","List Price$698,000",4 days ,3 Bed,2 Bath,1200–1399 sqft
480 Bartley Bull Pkwy,https://www.zoocasa.com/brampton-on-real-estate/480-bartley-bull-pky,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F16cdcb11-f293-47da-8e39-e8a809ca30d5.jpg&w=640&q=75,Sold,"$1,276,300","List Price$1,299,999",4 days ,3 Bed,2 Bath,N/A sqft
66 Cathcart Cres,https://www.zoocasa.com/brampton-on-real-estate/66-cathcart-cres,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2Fad236924-39fa-47f8-b069-20ba602992e6.jpg&w=640&q=75,Sold,"$1,125,000","List Price$1,049,000",4 days ,4 Bed,3 Bath,N/A sqft
83 Mountainberry Rd,https://www.zoocasa.com/brampton-on-real-estate/83-mountainberry-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,390,000","List Price$1,249,000",4 days ,4 Bed,4 Bath,2000–2500 sqft
8 Zamek St,https://www.zoocasa.com/brampton-on-real-estate/8-zamek-st,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,085,000","List Price$1,199,000",4 days ,3 Bed,4 Bath,1500–2000 sqft
189 Vintage Gate,https://www.zoocasa.com/brampton-on-real-estate/189-vintage-gate,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,500,000","List Price$1,349,800",4 days ,4 Bed,4 Bath,2000–2500 sqft
8 Redearth Gate,https://www.zoocasa.com/brampton-on-real-estate/8-redearth-gate,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,700,000","List Price$1,699,900",4 days ,4 Bed,5 Bath,2500–3000 sqft
43 Ellis Dr,https://www.zoocasa.com/brampton-on-real-estate/43-ellis-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$750,000","List Price$699,900",4 days ,3 Bed,2 Bath,1000–1199 sqft
40 Woodhaven Dr S,https://www.zoocasa.com/brampton-on-real-estate/40-woodhaven-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,097,000","List Price$999,900",4 days ,3 Bed,4 Bath,1500–2000 sqft
64 Mccrimmon Dr,https://www.zoocasa.com/brampton-on-real-estate/64-mccrimmon-dr,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,450,000","List Price$1,499,999",Sold 4 Days Ago,5 Bed,4 Bath,2000–2500 sqft
49 Crystalview Cres,https://www.zoocasa.com/brampton-on-real-estate/49-crystalview-cres,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,180,000","List Price$1,199,900",Sold 4 Days Ago,3 Bed,4 Bath,N/A sqft
3 Dolbyhill Dr,https://www.zoocasa.com/brampton-on-real-estate/3-dolbyhill-dr,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F9c422cc9-8425-41cb-993f-1eabdd7201a0.jpg&w=640&q=75,Sold,"$1,575,000","List Price$1,629,000",4 days ,4 Bed,5 Bath,N/A sqft
73 Ready Crt,https://www.zoocasa.com/brampton-on-real-estate/73-ready-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,306,000","List Price$999,900",4 days ,3 Bed,3 Bath,1500–2000 sqft
40 Royal Salisbury Way,https://www.zoocasa.com/brampton-on-real-estate/40-royal-salisbury-way,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,250,000","List Price$1,099,000",4 days ,4 Bed,4 Bath,N/A sqft
48 Leadenhall Rd,https://www.zoocasa.com/brampton-on-real-estate/48-leadenhall-rd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,640,000","List Price$1,690,000",4 days ,4 Bed,4 Bath,2500–3000 sqft
91 Pantomine Blvd,https://www.zoocasa.com/brampton-on-real-estate/91-pantomine-blvd,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$1,350,000","List Price$1,374,900",4 days ,4 Bed,4 Bath,N/A sqft
21 Handel Crt,https://www.zoocasa.com/brampton-on-real-estate/21-handel-ct,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Sold,"$860,000","List Price$920,000",Sold 4 Days Ago,3 Bed,4 Bath,N/A sqft
26 Herdwick St,https://www.zoocasa.com/brampton-on-real-estate/26-herdwick-st,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F58a84e20-1fcc-4511-ae14-b741d4ba9e12.jpg&w=640&q=75,Sold,"$1,090,000","List Price$1,149,000",4 days ,3 Bed,4 Bath,N/A sqft
43 Harmsworth Ave,https://www.zoocasa.com/brampton-on-real-estate/43-harmsworth-ave,https://www.zoocasa.com/_next/image?url=https%3A%2F%2Fcdn0.zoocasa.com%2Fimages%2Flistings%2F5f91b7c7-9308-4090-8911-e0f2d1c792fd.jpg&w=640&q=75,Sold,"$999,500","List Price$899,999",Sold 5 Days Ago,3 Bed,3 Bath,N/A sqft
